Entity,Code,Year,Cantril ladder score,Population (historical),World regions according to OWID,Life expectancy (years)
Bhutan,BTN,2018,5.082,759710,Asia,71.711
Bosnia and Herzegovina,BIH,2011,4.857,3741747,Europe,76.963
Bosnia and Herzegovina,BIH,2012,4.813,3670056,Europe,77.037
Bosnia and Herzegovina,BIH,2014,4.949,3564777,Europe,77.089
Bosnia and Herzegovina,BIH,2015,5.163,3518485,Europe,77.073
Bosnia and Herzegovina,BIH,2016,5.182,3472950,Europe,77.124
Bosnia and Herzegovina,BIH,2017,5.129,3428638,Europe,77.385
Bosnia and Herzegovina,BIH,2018,5.386,3386940,Europe,77.942
Bosnia and Herzegovina,BIH,2019,5.6741,3345480,Europe,77.394
Bosnia and Herzegovina,BIH,2020,5.813,3299297,Europe,76.04
Bosnia and Herzegovina,BIH,2021,5.768,3244869,Europe,74.567
Bosnia and Herzegovina,BIH,2022,5.633,3204770,Europe,76.777
Bosnia and Herzegovina,BIH,2023,5.877,3185033,Europe,77.85
Bulgaria,BGR,2011,3.889,7379973,Europe,74.169
Bulgaria,BGR,2012,3.981,7316974,Europe,74.337
Bulgaria,BGR,2014,4.218,7223406,Europe,74.466
Bulgaria,BGR,2015,4.217,7177463,Europe,74.621
Bulgaria,BGR,2016,4.714,7127389,Europe,74.827
Bulgaria,BGR,2017,4.933,7075586,Europe,74.798
Bulgaria,BGR,2018,5.011,7024687,Europe,74.933
Bulgaria,BGR,2019,5.1015,6975420,Europe,75.087
Bulgaria,BGR,2020,5.266,6933606,Europe,73.599
Bulgaria,BGR,2021,5.371,6877173,Europe,71.414
Bulgaria,BGR,2022,5.466,6825817,Europe,74.034
Bulgaria,BGR,2023,5.463,6795757,Europe,75.636
Cambodia,KHM,2011,4.101,14722537,Asia,67.869
Cambodia,KHM,2012,4.067,14945041,Asia,68.371
Cambodia,KHM,2014,3.819,15396720,Asia,69.117
Cambodia,KHM,2015,3.907,15623205,Asia,69.398
Cambodia,KHM,2016,4.168,15852754,Asia,69.635
Cambodia,KHM,2017,4.433,16073324,Asia,69.842
Cambodia,KHM,2018,4.7,16274473,Asia,69.993
Cambodia,KHM,2019,4.8484,16481244,Asia,70.127
Cambodia,KHM,2020,4.83,16725440,Asia,70.059
Cambodia,KHM,2021,4.64,16974258,Asia,69.301
Cambodia,KHM,2022,4.393,17201662,Asia,70.528
Cambodia,KHM,2023,4.341,17423835,Asia,70.668
China,CHN,2011,4.68,1360250601,Asia,75.889
China,CHN,2012,4.978,1369520822,Asia,76.2
China,CHN,2014,5.14,1387951920,Asia,76.714
China,CHN,2015,5.245,1396134112,Asia,76.975
China,CHN,2016,5.273,1404052581,Asia,77.214
China,CHN,2017,5.246,1412354694,Asia,77.235
China,CHN,2018,5.191,1419008910,Asia,77.709
China,CHN,2019,5.1239,1423520298,Asia,77.94
China,CHN,2020,5.339,1426106040,Asia,78.019
China,CHN,2021,5.585,1426437224,Asia,78.117
China,CHN,2022,5.818,1425179509,Asia,78.202
China,CHN,2023,5.973,1422584878,Asia,77.953
Croatia,HRV,2011,5.623,4280782,Europe,76.993
Croatia,HRV,2012,5.661,4259181,Europe,77.284
Croatia,HRV,2014,5.759,4219439,Europe,77.514
Croatia,HRV,2015,5.488,4183681,Europe,77.633
Croatia,HRV,2016,5.293,4136388,Europe,77.629
Croatia,HRV,2017,5.321,4079152,Europe,77.726
Croatia,HRV,2018,5.432,4024820,Europe,77.865
Croatia,HRV,2019,5.5047,3986292,Europe,78.197
Croatia,HRV,2020,5.882,3953898,Europe,77.497
Croatia,HRV,2021,6.125,3924558,Europe,77.141
Croatia,HRV,2022,6.125,3906988,Europe,78.278
Croatia,HRV,2023,5.942,3895973,Europe,78.58
Cyprus,CYP,2011,6.416,1146448,Europe,80.855
Cyprus,CYP,2012,6.466,1165359,Europe,81.128
Cyprus,CYP,2014,5.689,1201763,Europe,81.337
Cyprus,CYP,2015,5.546,1219450,Europe,81.464
Cyprus,CYP,2016,5.621,1237065,Europe,81.534
Cyprus,CYP,2017,5.762,1254213,Europe,81.543
Cyprus,CYP,2018,6.046,1270700,Europe,81.556
Cyprus,CYP,2019,6.159,1286615,Europe,81.454
Cyprus,CYP,2020,6.223,1302202,Europe,81.23
Cyprus,CYP,2021,6.221,1317269,Europe,80.573
Cyprus,CYP,2022,6.13,1331324,Europe,80.434
Cyprus,CYP,2023,6.068,1344937,Europe,81.648
Czechia,CZE,2011,6.36,10495455,Europe,77.814
Czechia,CZE,2012,6.29,10507287,Europe,77.998
Czechia,CZE,2014,6.505,10517176,Europe,78.744
Czechia,CZE,2015,6.596,10524367,Europe,78.561
Czechia,CZE,2016,6.609,10531895,Europe,78.974
Czechia,CZE,2017,6.711,10541301,Europe,78.926
Czechia,CZE,2018,6.852,10548878,Europe,78.961
Czechia,CZE,2019,6.9109,10554819,Europe,79.185
Czechia,CZE,2020,6.965,10550083,Europe,78.237
Czechia,CZE,2021,6.92,10530619,Europe,77.234
Czechia,CZE,2022,6.845,10673169,Europe,79.165
Czechia,CZE,2023,6.822,10809674,Europe,79.834
Denmark,DNK,2011,7.856,5570801,Europe,79.786
Denmark,DNK,2012,7.693,5591867,Europe,80.082
Denmark,DNK,2014,7.527,5643742,Europe,80.632
Denmark,DNK,2015,7.526,5683641,Europe,80.739
Denmark,DNK,2016,7.522,5728150,Europe,80.881
Denmark,DNK,2017,7.555,5765108,Europe,81.112
Denmark,DNK,2018,7.6,5793761,Europe,80.991
Denmark,DNK,2019,7.6456,5814566,Europe,81.434
Denmark,DNK,2020,7.62,5831483,Europe,81.546
Denmark,DNK,2021,7.636,5856724,Europe,81.436
Denmark,DNK,2022,7.586,5902846,Europe,81.291
Denmark,DNK,2023,7.583,5948078,Europe,81.933
Estonia,EST,2011,5.33,1327315,Europe,76.346
Estonia,EST,2012,5.426,1322570,Europe,76.416
Estonia,EST,2014,5.429,1314402,Europe,77.11
Estonia,EST,2015,5.517,1314538,Europe,77.665
Estonia,EST,2016,5.611,1315802,Europe,77.763
Estonia,EST,2017,5.739,1317381,Europe,78.181
Estonia,EST,2018,5.893,1321918,Europe,78.334
Estonia,EST,2019,6.0218,1326772,Europe,78.773
Estonia,EST,2020,6.189,1329618,Europe,78.893
Estonia,EST,2021,6.341,1331699,Europe,77.409
Estonia,EST,2022,6.455,1350038,Europe,78.167
Estonia,EST,2023,6.448,1367143,Europe,79.153
Finland,FIN,2011,7.579,5388186,Europe,80.392
Finland,FIN,2012,7.389,5413924,Europe,80.508
Finland,FIN,2014,7.406,5461629,Europe,81.055
Finland,FIN,2015,7.413,5479664,Europe,81.377
Finland,FIN,2016,7.469,5495422,Europe,81.303
Finland,FIN,2017,7.632,5508354,Europe,81.497
Finland,FIN,2018,7.769,5515685,Europe,81.626
Finland,FIN,2019,7.8087,5521713,Europe,81.864
Finland,FIN,2020,7.842,5529559,Europe,81.822
Finland,FIN,2021,7.821,5541019,Europe,81.814
Finland,FIN,2022,7.804,5569254,Europe,81.243
Finland,FIN,2023,7.741,5601133,Europe,81.91
France,FRA,2011,6.746,63733716,Europe,81.781
France,FRA,2012,6.764,64058423,Europe,81.739
France,FRA,2014,6.575,64692449,Europe,82.437
France,FRA,2015,6.478,64916292,Europe,82.149
France,FRA,2016,6.442,65086802,Europe,82.401
France,FRA,2017,6.489,65284727,Europe,82.439
France,FRA,2018,6.592,65519483,Europe,82.568
France,FRA,2019,6.6638,65729405,Europe,82.73
France,FRA,2020,6.69,65905226,Europe,82.199
France,FRA,2021,6.687,66083491,Europe,82.322
France,FRA,2022,6.661,66277365,Europe,82.475
France,FRA,2023,6.609,66438774,Europe,83.325
Georgia,GEO,2011,3.892,3868672,Asia,72.485
Georgia,GEO,2012,4.187,3839155,Asia,72.672
Georgia,GEO,2014,4.297,3792875,Asia,73.105
Georgia,GEO,2015,4.252,3791515,Asia,73.241
Georgia,GEO,2016,4.286,3792013,Asia,73.136
Georgia,GEO,2017,4.34,3792801,Asia,73.435
Georgia,GEO,2018,4.519,3794833,Asia,73.985
Georgia,GEO,2019,4.6726,3796671,Asia,74.165
Georgia,GEO,2020,4.891,3795624,Asia,73.509
Georgia,GEO,2021,4.973,3788400,Asia,71.635
Georgia,GEO,2022,5.109,3794728,Asia,74.141
Georgia,GEO,2023,5.185,3807436,Asia,74.496
Germany,DEU,2011,6.572,80857831,Europe,80.355
Germany,DEU,2012,6.672,80916339,Europe,80.502
Germany,DEU,2014,6.75,81376036,Europe,80.906
Germany,DEU,2015,6.994,82077498,Europe,80.566
Germany,DEU,2016,6.951,82760053,Europe,80.837
Germany,DEU,2017,6.965,83103956,Europe,80.937
Germany,DEU,2018,6.985,83368456,Europe,80.875
Germany,DEU,2019,7.0758,83559127,Europe,81.189
Germany,DEU,2020,7.155,83628661,Europe,81.004
Germany,DEU,2021,7.034,83697031,Europe,81.106
Germany,DEU,2022,6.892,84086176,Europe,80.58
Germany,DEU,2023,6.719,84548184,Europe,81.378
Greece,GRC,2011,6.133,11108791,Europe,80.625
Greece,GRC,2012,5.435,11048239,Europe,80.422
Greece,GRC,2014,4.857,10893122,Europe,81.12
Greece,GRC,2015,5.033,10820843,Europe,80.789
Greece,GRC,2016,5.227,10775454,Europe,81.269
Greece,GRC,2017,5.358,10753489,Europe,80.961
Greece,GRC,2018,5.287,10730788,Europe,81.495
Greece,GRC,2019,5.515,10718520,Europe,81.349
Greece,GRC,2020,5.723,10699317,Europe,81.536
Greece,GRC,2021,5.948,10579511,Europe,80.531
Greece,GRC,2022,5.931,10412428,Europe,79.944
Greece,GRC,2023,5.934,10242850,Europe,81.857
Hong Kong,HKG,2011,5.424,7142923,Asia,83.16
Hong Kong,HKG,2012,5.523,7201012,Asia,83.416
Hong Kong,HKG,2014,5.474,7319453,Asia,83.927
Hong Kong,HKG,2015,5.458,7366349,Asia,84.147
Hong Kong,HKG,2016,5.472,7407953,Asia,84.38
Hong Kong,HKG,2017,5.43,7444832,Asia,84.662
Hong Kong,HKG,2018,5.43,7471131,Asia,84.987
Hong Kong,HKG,2019,5.5104,7485770,Asia,85.263
Hong Kong,HKG,2020,5.477,7490198,Asia,84.707
Hong Kong,HKG,2021,5.425,7484547,Asia,85.082
Hong Kong,HKG,2022,5.308,7465860,Asia,83.485
Hong Kong,HKG,2023,5.316,7442686,Asia,85.511
Hungary,HUN,2011,4.943,9946626,Europe,74.923
Hungary,HUN,2012,4.775,9916568,Europe,75.183
Hungary,HUN,2014,4.8,9862785,Europe,75.849
Hungary,HUN,2015,5.145,9839162,Europe,75.654
Hungary,HUN,2016,5.324,9810479,Europe,76.157
Hungary,HUN,2017,5.62,9785561,Europe,76.007
Hungary,HUN,2018,5.758,9774342,Europe,76.205
Hungary,HUN,2019,6.0004,9770300,Europe,76.455
Hungary,HUN,2020,5.992,9749421,Europe,75.73
Hungary,HUN,2021,6.086,9707794,Europe,74.185
Hungary,HUN,2022,6.041,9684259,Europe,76.212
Hungary,HUN,2023,6.017,9686418,Europe,77.024
Iceland,ISL,2011,6.888,319098,Europe,81.972
Iceland,ISL,2012,7.355,320802,Europe,82.346
Iceland,ISL,2014,7.561,327471,Europe,82.43
Iceland,ISL,2015,7.501,330918,Europe,82.164
Iceland,ISL,2016,7.504,335522,Europe,81.829
Iceland,ISL,2017,7.495,343480,Europe,82.241
Iceland,ISL,2018,7.494,352819,Europe,82.453
Iceland,ISL,2019,7.5045,360652,Europe,82.847
Iceland,ISL,2020,7.554,366571,Europe,82.711
Iceland,ISL,2021,7.557,372597,Europe,82.843
Iceland,ISL,2022,7.53,380322,Europe,81.588
Iceland,ISL,2023,7.525,387522,Europe,82.691
India,IND,2011,4.975,1261224903,Asia,67.623
India,IND,2012,4.772,1278674446,Asia,68.076
India,IND,2014,4.565,1312277131,Asia,68.932
India,IND,2015,4.404,1328024445,Asia,69.326
India,IND,2016,4.315,1343944244,Asia,69.709
India,IND,2017,4.19,1359657354,Asia,70.068
India,IND,2018,4.015,1374659017,Asia,70.415
India,IND,2019,3.5733,1389030252,Asia,70.746
India,IND,2020,3.819,1402617645,Asia,70.156
India,IND,2021,3.777,1414203840,Asia,67.282
India,IND,2022,4.036,1425423157,Asia,71.698
India,IND,2023,4.054,1438069540,Asia,72.003
Indonesia,IDN,2011,5.159,249469983,Asia,68.629
Indonesia,IDN,2012,5.348,252698471,Asia,68.862
Indonesia,IDN,2014,5.399,258877350,Asia,69.292
Indonesia,IDN,2015,5.314,261799196,Asia,69.52
Indonesia,IDN,2016,5.262,264627382,Asia,69.733
Indonesia,IDN,2017,5.093,267346608,Asia,69.953
Indonesia,IDN,2018,5.192,269951801,Asia,70.08
Indonesia,IDN,2019,5.2856,272489333,Asia,70.349
Indonesia,IDN,2020,5.345,274814825,Asia,68.817
Indonesia,IDN,2021,5.24,276758010,Asia,67.452
Indonesia,IDN,2022,5.277,278830479,Asia,70.925
Indonesia,IDN,2023,5.568,281190021,Asia,71.146
Iran,IRN,2011,5.149,78383547,Asia,74.721
Iran,IRN,2012,4.643,79370525,Asia,75.039
Iran,IRN,2014,4.686,81501999,Asia,75.635
Iran,IRN,2015,4.813,82619310,Asia,75.907
Iran,IRN,2016,4.692,83812175,Asia,76.155
Iran,IRN,2017,4.707,85026715,Asia,76.396
Iran,IRN,2018,4.548,86117959,Asia,76.621
Iran,IRN,2019,4.6724,87051599,Asia,76.855
Iran,IRN,2020,4.721,87723397,Asia,74.141
Iran,IRN,2021,4.888,88455443,Asia,73.752
Iran,IRN,2022,4.876,89524192,Asia,76.799
Iran,IRN,2023,4.923,90608663,Asia,77.654
Iraq,IRQ,2011,4.882,32161373,Asia,68.435
Iraq,IRQ,2012,4.817,33654796,Asia,68.827
Iraq,IRQ,2014,4.677,36550007,Asia,69.679
Iraq,IRQ,2015,4.575,37560485,Asia,69.977
Iraq,IRQ,2016,4.497,38469579,Asia,68.683
Iraq,IRQ,2017,4.456,39337310,Asia,69.788
Iraq,IRQ,2018,4.437,40265573,Asia,71.116
Iraq,IRQ,2019,4.7848,41192120,Asia,71.245
Iraq,IRQ,2020,4.854,42116556,Asia,69.651
Iraq,IRQ,2021,4.941,43071162,Asia,70.704
Iraq,IRQ,2022,4.941,44070510,Asia,72.037
Iraq,IRQ,2023,5.166,45074010,Asia,72.324
Ireland,IRL,2011,7.284,4579557,Europe,80.727
Ireland,IRL,2012,7.076,4600088,Europe,80.852
Ireland,IRL,2014,6.94,4658186,Europe,81.406
Ireland,IRL,2015,6.907,4702444,Europe,81.533
Ireland,IRL,2016,6.977,4753463,Europe,81.684
Ireland,IRL,2017,6.977,4810214,Europe,82.103
Ireland,IRL,2018,7.021,4872503,Europe,82.123
Ireland,IRL,2019,7.0937,4933445,Europe,82.411
Ireland,IRL,2020,7.085,4982560,Europe,82.39
Ireland,IRL,2021,7.041,5028387,Europe,81.861
Ireland,IRL,2022,6.911,5109966,Europe,82.05
Ireland,IRL,2023,6.838,5196586,Europe,82.412
Israel,ISR,2011,7.199,7470971,Asia,81.989
Israel,ISR,2012,7.301,7607737,Asia,81.985
Israel,ISR,2014,7.278,7897132,Asia,82.361
Israel,ISR,2015,7.267,8052858,Asia,82.254
Israel,ISR,2016,7.213,8209957,Asia,82.612
Israel,ISR,2017,7.19,8361744,Asia,82.699
Israel,ISR,2018,7.139,8510026,Asia,82.918
Israel,ISR,2019,7.1286,8657420,Asia,82.905
Israel,ISR,2020,7.157,8800323,Asia,82.7
Israel,ISR,2021,7.364,8942868,Asia,82.517
Israel,ISR,2022,7.473,9103094,Asia,82.814
Israel,ISR,2023,7.341,9256261,Asia,82.408
Italy,ITA,2011,6.578,60367832,Europe,82.228
Italy,ITA,2012,6.021,60531480,Europe,82.252
Italy,ITA,2014,5.948,60664127,Europe,82.901
Italy,ITA,2015,5.977,60575274,Europe,82.521
Italy,ITA,2016,5.964,60478047,Europe,83.046
Italy,ITA,2017,6,60390266,Europe,82.726
Italy,ITA,2018,6.223,60277446,Europe,83.184
Italy,ITA,2019,6.3874,60130080,Europe,83.342
Italy,ITA,2020,6.483,59912714,Europe,82.181
Italy,ITA,2021,6.467,59729300,Europe,82.865
Italy,ITA,2022,6.405,59619058,Europe,82.052
Italy,ITA,2023,6.324,59499408,Europe,83.716
Japan,JPN,2011,6.059,128096387,Asia,82.671
Japan,JPN,2012,6.064,127928244,Asia,83.168
Japan,JPN,2014,5.987,127486555,Asia,83.643
Japan,JPN,2015,5.921,127275819,Asia,83.883
Japan,JPN,2016,5.92,127159900,Asia,84.057
Japan,JPN,2017,5.915,127064637,Asia,84.189
Japan,JPN,2018,5.886,126913388,Asia,84.289
Japan,JPN,2019,5.8708,126699371,Asia,84.418
Japan,JPN,2020,5.94,126304487,Asia,84.67
Japan,JPN,2021,6.039,125679288,Asia,84.55
Japan,JPN,2022,6.129,124997534,Asia,84.054
Japan,JPN,2023,6.06,124370893,Asia,84.712
Jordan,JOR,2011,5.706,7480382,Asia,73.929
Jordan,JOR,2012,5.414,7587082,Asia,74.087
Jordan,JOR,2014,5.192,8791661,Asia,74.606
Jordan,JOR,2015,5.303,9544673,Asia,75.06
Jordan,JOR,2016,5.336,10006321,Asia,75.55
Jordan,JOR,2017,5.161,10234177,Asia,76.071
Jordan,JOR,2018,4.906,10462255,Asia,76.491
Jordan,JOR,2019,4.6334,10671837,Asia,76.865
Jordan,JOR,2020,4.395,10865183,Asia,75.583
Jordan,JOR,2021,4.152,11066310,Asia,74.204
Jordan,JOR,2022,4.12,11256215,Asia,77.088
Jordan,JOR,2023,4.186,11439171,Asia,77.814
Kazakhstan,KAZ,2011,5.594,17065944,Asia,69.108
Kazakhstan,KAZ,2012,5.671,17306063,Asia,69.939
Kazakhstan,KAZ,2014,5.855,17816240,Asia,71.415
Kazakhstan,KAZ,2015,5.919,18084126,Asia,72.024
Kazakhstan,KAZ,2016,5.819,18363551,Asia,72.549
Kazakhstan,KAZ,2017,5.79,18651876,Asia,72.996
Kazakhstan,KAZ,2018,5.809,18932674,Asia,73.369
Kazakhstan,KAZ,2019,6.0579,19209498,Asia,73.658
Kazakhstan,KAZ,2020,6.152,19482065,Asia,71.195
Kazakhstan,KAZ,2021,6.234,19743565,Asia,70.131
Kazakhstan,KAZ,2022,6.144,20034569,Asia,73.503
Kazakhstan,KAZ,2023,6.188,20330063,Asia,74.402
Kosovo,OWID_KOS,2011,5.42,1791911,Europe,75.323
Kosovo,OWID_KOS,2012,5.222,1806483,Europe,75.75
Kosovo,OWID_KOS,2014,5.589,1808931,Europe,76.179
Kosovo,OWID_KOS,2015,5.401,1778978,Europe,76.024
Kosovo,OWID_KOS,2016,5.279,1761711,Europe,76.748
Kosovo,OWID_KOS,2017,5.662,1768084,Europe,77.105
Kosovo,OWID_KOS,2018,6.1,1767699,Europe,77.117
Kosovo,OWID_KOS,2019,6.3252,1754998,Europe,77.249
Kosovo,OWID_KOS,2020,6.372,1751372,Europe,74.212
Kosovo,OWID_KOS,2021,6.455,1741407,Europe,74.981
Kosovo,OWID_KOS,2022,6.368,1717900,Europe,77.623
Kosovo,OWID_KOS,2023,6.561,1699985,Europe,78.033
Kuwait,KWT,2011,6.574,3132776,Asia,77.864
Kuwait,KWT,2012,6.515,3336980,Asia,78.227
Kuwait,KWT,2014,6.295,3665719,Asia,78.927
Kuwait,KWT,2015,6.239,3834416,Asia,79.219
Kuwait,KWT,2016,6.105,4003921,Asia,79.516
Kuwait,KWT,2017,6.083,4154633,Asia,79.731
Kuwait,KWT,2018,6.021,4323333,Asia,79.899
Kuwait,KWT,2019,6.1021,4442153,Asia,80.022
Kuwait,KWT,2020,6.106,4400103,Asia,78.248
Kuwait,KWT,2021,6.106,4360703,Asia,77.625
Kuwait,KWT,2023,6.951,4838724,Asia,80.405
Kyrgyzstan,KGZ,2011,4.828,5594489,Asia,67.748
Kyrgyzstan,KGZ,2012,5.042,5696470,Asia,68.142
Kyrgyzstan,KGZ,2014,5.286,5898279,Asia,68.829
Kyrgyzstan,KGZ,2015,5.185,6001819,Asia,69.309
Kyrgyzstan,KGZ,2016,5.004,6108412,Asia,69.909
Kyrgyzstan,KGZ,2017,5.131,6220098,Asia,70.503
Kyrgyzstan,KGZ,2018,5.261,6341684,Asia,70.668
Kyrgyzstan,KGZ,2019,5.5415,6493984,Asia,70.891
Kyrgyzstan,KGZ,2020,5.744,6664099,Asia,69.136
Kyrgyzstan,KGZ,2021,5.828,6820433,Asia,69.29
Kyrgyzstan,KGZ,2022,5.825,6955746,Asia,71.487
Kyrgyzstan,KGZ,2023,5.714,7073476,Asia,71.677
Laos,LAO,2011,5.161,6426537,Asia,64.505
Laos,LAO,2012,4.787,6518933,Asia,65.126
Laos,LAO,2014,4.876,6703118,Asia,66.35
Laos,LAO,2015,4.876,6801606,Asia,66.688
Laos,LAO,2017,4.623,7018100,Asia,67.345
Laos,LAO,2018,4.796,7127997,Asia,67.594
Laos,LAO,2019,4.8886,7237589,Asia,67.911
Laos,LAO,2020,5.03,7346484,Asia,68.339
Laos,LAO,2021,5.14,7453143,Asia,67.807
Laos,LAO,2022,5.111,7558961,Asia,68.715
Laos,LAO,2023,5.139,7664955,Asia,68.964
Latvia,LVA,2011,4.762,2059892,Europe,73.718
Latvia,LVA,2012,5.046,2034577,Europe,73.939
Latvia,LVA,2014,5.098,1994096,Europe,74.306
Latvia,LVA,2015,5.56,1977815,Europe,74.665
Latvia,LVA,2016,5.85,1959817,Europe,74.757
